88,6;490;0;0;8;808;808;201;19;120;0,8;30
59;361;207;0;16;894;688;195;1,3;20;0,65;35
46,6;390;0;210;16;735;769;186;2,9;117,8;0,92;13,8
49,2;350;0;150;16;744;755;235;4,5;30;0,75;60
49,8;420;200;0;16;819;670;228;5,7;24;0,75;30
51,2;350;0;150;16;865,3;787;200;12,5;60;0,75;30
52,6;380;80;0;16;901;737;216;5,4;55;0,75;30
45,2;390;0;210;16;749;783;186;3;39,3;0,92;13,8
71,1;480;0;0;16;1087;592;192;11,3;46,8;0,55;30
84,6;490;0;0;8;808;808;201;19;80;0,4;12,5
63,5;350;0;150;16;865;797;200;4,4;50;0,35;64
50;357;182;0;16;829;763;189;1,3;80;0,65;35
62;420;0;180;10;777;636;120;4,2;39;0,55;35
48,6;450;0;0;20;815;957;247;1,5;20;0,7;30
55,6;350;0;150;16;738;749;235;6;60;0,75;60
98,2;490;0;0;8;808;808;201;19;40;0,8;30
46,1;390;0;210;16;735;769;186;2,9;117,8;0,92;23
46,6;420;200;0;16;819;670;228;5,7;55;0,75;30
46,1;390;0;210;16;735;769;186;2,9;117,8;0,92;32,2
46,8;390;0;210;16;742;776;186;3;78,5;0,92;32,2
50,1;350;0;150;16;736;752;235;5,08;30;0,75;60
51,6;400;140;0;16;819;670;240;6;24;0,75;30
96,5;490;0;0;8;808;808;201;19;80;0,8;30
55,8;380;80;0;16;901;737;216;5,4;24;0,75;30
44,8;390;0;210;16;749;783;186;3;39,3;0,92;32,2
50,9;450;0;0;20;815;957;247;1,5;20;0,7;30
62,4;350;0;150;16;865;797;200;4,4;50;0,6;80
87,5;490;0;0;8;808;808;201;19;120;0,4;12,5
47,4;350;0;150;16;865,3;787;200;12,5;60;0,9;60
37,3;420;0;0;20;815;957;252;1,5;20;0,7;30
51,2;350;0;150;16;865,3;787;200;12,5;60;0,75;30
47,6;390;0;210;16;742;776;186;3;78,5;0,92;13,8
57,9;350;0;150;16;865,3;793,8;200;12,5;40;0,75;30
53,8;350;0;150;16;732;747;235;3,68;45;0,75;60
65,2;350;0;150;16;865;798;200;4,4;50;0,3;55
51,3;350;0;150;16;738;749;235;5;60;0,75;60
59,2;420;0;180;10;777;636;120;3,6;39;0,16;13
54,1;350;0;150;16;732;751;235;3,5;30;0,75;60
55,6;350;0;150;16;732;745;235;4,2;60;0,75;60
53,6;350;0;150;16;731;747;235;5,6;60;0,75;60
53,6;350;0;150;16;738;749;235;8;60;0,75;60
53,2;350;0;150;16;741;752;235;4,5;45;0,75;60
53,2;350;0;150;16;732;749;235;3,15;45;0,75;60
47,6;390;0;210;16;742;776;186;3;78,5;0,92;23
59;368;172;0;16;853;735;202;1,3;80;0,65;35
68,2;480;0;0;16;1087;592;192;10,43;46,8;1;50
50,6;350;0;150;16;734;749;235;5,25;45;0,75;60
58;362;182;0;16;969;608;197;1,3;40;0,65;35
54,1;350;0;150;16;744;755;235;5;30;0,75;60
70,1;480;0;0;16;1087;592;192;10,87;46,8;0,55;35
47,9;475;0;0;20;801;763;200;5,1;24;0,55;30
45,5;400;40;0;16;874;715;240;6;24;0,75;30
53,9;350;0;150;16;741;752;235;5,5;45;0,75;60
50,6;475;0;0;20;813;743;200;5,1;39;0,55;30
45,5;390;0;210;16;749;783;186;3;39,3;0,92;23
50,6;350;0;150;16;741;752;235;7,5;45;0,75;60
49,5;450;0;0;20;815;957;247;1,5;20;0,7;60
49,2;350;0;150;16;736;752;235;3,15;30;0,75;60
36,2;420;100;0;16;873;715;228;5,7;24;0,75;30
51,2;350;0;150;16;736;752;235;3,5;60;0,75;60
72,6;350;0;150;16;865;797;200;4,4;46;0,1;40
46,4;350;0;150;16;865,3;787;200;12,5;60;0,9;60
50,1;350;0;150;16;744;755;235;7,3;30;0,75;60
80,1;490;0;0;8;808;808;201;19;40;0,4;12,5
58,9;420;0;180;10;777;636;120;4,2;78;0,16;13
54;350;0;150;16;865,3;793,8;200;12,5;40;0,9;60
63,7;500;0;0;20;815;957;250;1,9;20;0,7;30
