9;400;40;0;19;720;1080;176;8;40;0,16;8
10;400;40;0;19;720;1080;176;8;40;0,5;30
5;390;0;210;16;735;769;186;2,9;117,8;0,92;32,2
13;500;40;0;19;687;1030;173;10;160;0,16;13
9;440;623;0;16;315;610;198;6,6;78;0,75;30
2,1;380;80;0;16;901;737;216;5,4;55;0,75;30
11,5;350;42;0;19;736;1104;176;7;80;0,16;8
2;490;0;0;8;808;808;201;19;40;0,8;30
3;490;0;0;8;808;808;201;19;40;0,4;12,5
1;500;58;0;16;1080;420;200;7;50;0,7;30
15,1;400;40;0;19;720;1080;176;8;160;0,5;30
4,9;390;0;210;16;742;776;186;3;78,5;0,92;32,2
1,9;380;80;0;16;901;737;216;5,4;24;0,75;30
4,5;350;561;150;16;494;816;164,5;5,25;25;0,75;30
3,2;350;0;150;16;865;797;200;4,4;50;0,6;80
4;350;561;150;16;494;816;164,5;4,55;20;0,16;13
9;500;40;0;19;687;1030;173;10;40;0,16;13
3,5;480;0;0;16;1087;592;192;10,87;46,8;0,55;35
1,3;400;140;0;16;819;670;240;6;24;0,75;30
6;490;0;0;8;808;808;201;19;120;0,4;12,5
11;350;42;0;19;736;1104;176;7;40;0,5;30
11,5;500;40;0;19;687;1030;173;10;80;0,5;30
1,1;475;0;0;20;801;763;200;5,1;24;0,55;30
4,5;400;0;120;16;429;1299,7;160;6;45;0,5;30
4,5;490;0;0;8;808;808;201;19;120;0,8;30
11,6;400;40;0;19;720;1080;176;8;80;0,5;30
3,4;350;0;150;16;865,3;787;200;12,5;60;0,75;30
10,5;500;40;0;19;687;1030;173;10;80;0,16;8
16;350;42;0;19;736;1104;176;7;120;0,5;30
12;400;40;0;19;720;1080;176;8;120;0,16;13
14;500;40;0;19;687;1030;173;10;240;0,16;8
2;420;200;0;16;819;670;228;5,7;24;0,75;30
11;500;40;0;19;687;1030;173;10;80;0,16;13
4,5;390;0;210;16;749;783;186;3;39,3;0,92;13,8
3,5;490;0;0;8;808;808;201;19;80;0,8;30
15,6;413;353;0;19;908;640;127,8;7,8;60;0,5;30
2,7;350;0;150;16;865;797;200;4,4;50;0,35;64
4;350;561;150;16;494;816;164,5;5,25;20;0,9;60
12,6;400;40;0;19;720;1080;176;8;160;0,16;8
14,5;350;42;0;19;736;1104;176;7;160;0,16;8
14,6;350;42;0;19;736;1104;176;7;120;0,16;13
1,3;475;0;0;20;813;743;200;5,1;39;0,55;30
3,8;350;0;150;16;865,3;787;200;12,5;60;0,9;60
3,2;350;0;150;16;865,3;793,8;200;12,5;40;0,9;60
13,5;500;40;0;19;687;1030;173;10;120;0,5;30
4,7;400;0;120;16;427,7;1295,6;160;6;60;0,5;30
4,3;500;70;0;19;977;578;200;9,5;60;0,55;30
4;350;561;150;16;494;816;164,5;4,2;10;0,16;13
5;350;561;150;16;494;816;164,5;4,2;55;0,9;60
12,5;500;40;0;19;687;1030;173;10;160;0,16;8
17;350;42;0;19;736;1104;176;7;160;0,5;30
1,9;350;0;150;16;865;797;200;4,4;46;0,1;40
5;490;0;0;8;808;808;201;19;80;0,4;12,5
2,6;350;30;100;16;870;750;140;5,6;39,2;0,75;30
2;250;70;250;19;924;549;205;11,8;60;0,16;6
4,6;390;0;210;16;749;783;186;3;39,3;0,92;23
14,5;500;40;0;19;687;1030;173;10;160;0,5;30
1,9;350;30;100;16;870;750;140;5,6;19,6;0,9;60
5,1;350;30;100;16;870;750;140;5,6;58,8;0,9;60
13;824;308;0;16;315;610;198;8,2;78;0,75;30
11;400;40;0;19;720;1080;176;8;80;0,16;8
3;420;0;180;10;777;636;120;3,6;39;0,16;13
4;420;0;180;10;777;636;120;4,2;78;0,16;13
4,3;400;0;120;16;431,7;1307,7;160;6;15;0,5;30
3;500;70;0;16;1080;420;200;7;50;0,7;30
16,6;350;42;0;19;736;1104;176;7;240;0,16;8
11,5;400;40;0;19;720;1080;176;8;80;0,16;13
4,8;390;0;210;16;749;783;186;3;39,3;0,92;32,2
4,5;390;0;210;16;735;769;186;2,9;117,8;0,92;13,8
9;500;40;0;19;687;1030;173;10;40;0,5;30
12;500;40;0;19;687;1030;173;10;120;0,16;13
14,6;400;40;0;19;720;1080;176;8;240;0,16;8
11;521;556;0;16;315;610;198;6,8;78;0,75;30
10;350;561;150;16;494;816;164,5;4,9;40;0,16;13
2,9;420;100;0;16;873;715;228;5,7;24;0,75;30
14;400;40;0;19;720;1080;176;8;120;0,5;30
8,5;500;40;0;19;687;1030;173;10;40;0,16;8
2,5;350;0;150;16;865;798;200;4,4;50;0,3;55
5;390;0;210;16;735;769;186;2,9;117,8;0,92;23
12,5;350;42;0;19;736;1104;176;7;80;0,16;13
1,7;334;100;0;18;939;775;164;12,7;25;1;50
3,4;350;0;150;16;865,3;787;200;12,5;60;0,75;30
3;350;0;150;16;865,3;793,8;200;12,5;40;0,75;30
10,5;350;42;0;19;736;1104;176;7;40;0,16;13
5;350;561;150;16;494;816;164,5;4,2;40;0,9;60
4;420;0;180;10;777;636;120;4,2;39;0,55;35
3;500;275;0;10;700;833;138;19;39;0,6;30
2,7;480;0;0;16;1087;592;192;10,43;46,8;1;50
5,5;350;561;150;16;494;816;164,5;4,2;50;0,75;30
3,8;350;0;150;16;865,3;787;200;12,5;60;0,9;60
4,8;390;0;210;16;742;776;186;3;78,5;0,92;23
13,6;350;42;0;19;736;1104;176;7;80;0,5;30
7;350;561;150;16;494;816;164,5;4,55;90;0,75;30
13,1;400;40;0;19;720;1080;176;8;160;0,16;13
15,5;350;42;0;19;736;1104;176;7;160;0,16;13
3,9;400;40;0;16;874;715;240;6;24;0,75;30
2;250;70;250;19;889;530;226;11,8;60;0,55;30
4,9;480;0;0;16;1087;592;192;11,3;46,8;0,55;30
9,5;350;42;0;19;736;1104;176;7;40;0,16;8
9,5;400;40;0;19;720;1080;176;8;40;0,16;13
2,6;500;70;0;19;977;578;200;9,5;60;0,16;6
4,4;390;0;210;16;742;776;186;3;78,5;0,92;13,8
15;639;460;0;16;315;610;198;7,2;78;0,75;30
4,6;400;0;120;16;430,4;1303,8;160;6;30;0,5;30
5;350;30;100;16;870;750;140;5,6;58,8;0,75;30
4,2;350;30;100;16;870;750;140;5,6;39,2;0,9;60
2,1;350;30;100;16;870;750;140;5,6;19,6;0,75;30
2,3;420;200;0;16;819;670;228;5,7;55;0,75;30
